version,nameOrgan,image,imageAlt,name,url,alt,threeDimImage,csv
1.4,Pelvis,organ:bone-marrow,Pelvis icon,Male,https://purl.humanatlas.io/ref-organ/pelvis-male/v1.2,"Pelvis, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/pelvis-male/v1.2/assets/VH_M_Pelvis.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/pelvis-male/v1.2/assets/crosswalk.csv
1.4,Placenta,organ:placenta,Placenta icon,Female,https://purl.humanatlas.io/ref-organ/placenta-full-term-female/v1.0,"Placenta, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/placenta-full-term-female/v1.0/assets/VH_F_Placenta.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/placenta-full-term-female/v1.0/assets/crosswalk.csv
1.4,Prostate,organ:prostate,Prostate icon,Male,https://purl.humanatlas.io/ref-organ/prostate-male/v1.1,"Prostate, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/prostate-male/v1.1/assets/VH_M_Prostate.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/prostate-male/v1.1/assets/crosswalk.csv
1.4,Skin,organ:skin,Skin icon,Female,https://purl.humanatlas.io/ref-organ/skin-female/v1.3,"Skin, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/skin-female/v1.3/assets/3d-vh-f-skin.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/skin-female/v1.3/assets/crosswalk.csv
1.4,Skin,organ:skin,Skin icon,Male,https://purl.humanatlas.io/ref-organ/skin-male/v1.2,"Skin, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/skin-male/v1.2/assets/VH_M_Skin.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/skin-male/v1.2/assets/crosswalk.csv
1.4,Small Intestine,organ:small-intestine,Small Intestine icon,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.1,"Small Intestine, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/small-intestine-female/v1.1/assets/VH_F_Small_Intestine.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/small-intestine-female/v1.1/assets/crosswalk.csv
1.4,Small Intestine,organ:small-intestine,Small Intestine icon,Male,https://purl.humanatlas.io/ref-organ/small-intestine-male/v1.1,"Small Intestine, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/small-intestine-male/v1.1/assets/VH_M_Small_Intestine.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/small-intestine-male/v1.1/assets/crosswalk.csv
1.4,Spinal Cord,organ:spinal-cord,Spinal Cord icon,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.0,"Spinal Cord, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/spinal-cord-female/v1.0/assets/VH_F_Spinal_Cord.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/spinal-cord-female/v1.0/assets/crosswalk.csv
1.4,Spinal Cord,organ:spinal-cord,Spinal Cord icon,Male,https://purl.humanatlas.io/ref-organ/spinal-cord-male/v1.0,"Spinal Cord, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/spinal-cord-male/v1.0/assets/VH_M_Spinal_Cord.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/spinal-cord-male/v1.0/assets/crosswalk.csv
1.4,Spleen,organ:spleen,Spleen icon,Female,https://purl.humanatlas.io/ref-organ/spleen-female/v1.2,"Spleen, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/spleen-female/v1.2/assets/VH_F_Spleen.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/spleen-female/v1.2/assets/crosswalk.csv
1.4,Spleen,organ:spleen,Spleen icon,Male,https://purl.humanatlas.io/ref-organ/spleen-male/v1.2,"Spleen, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/spleen-male/v1.2/assets/VH_M_Spleen.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/spleen-male/v1.2/assets/crosswalk.csv
1.4,Thymus,organ:thymus,Thymus icon,Female,https://purl.humanatlas.io/ref-organ/thymus-female/v1.2,"Thymus, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/thymus-female/v1.2/assets/VH_F_Thymus.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/thymus-female/v1.2/assets/crosswalk.csv
1.4,Thymus,organ:thymus,Thymus icon,Male,https://purl.humanatlas.io/ref-organ/thymus-male/v1.2,"Thymus, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/thymus-male/v1.2/assets/VH_M_Thymus.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/thymus-male/v1.2/assets/crosswalk.csv
1.4,Trachea,organ:trachea,Trachea icon,Female,https://purl.humanatlas.io/ref-organ/trachea-female/v1.0,"Trachea, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/trachea-female/v1.0/assets/3d-vh-f-trachea.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/trachea-female/v1.0/assets/crosswalk.csv
1.4,Trachea,organ:trachea,Trachea icon,Male,https://purl.humanatlas.io/ref-organ/trachea-male/v1.0,"Trachea, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/trachea-male/v1.0/assets/3d-vh-m-trachea.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/trachea-male/v1.0/assets/crosswalk.csv
1.4,Ureter,organ:ureter,Ureter icon,"Female, L",https://purl.humanatlas.io/ref-organ/ureter-female-left/v1.1,"Ureter, Female, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-female-left/v1.1/assets/VH_F_Ureter_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-female-left/v1.1/assets/crosswalk.csv
1.4,Ureter,organ:ureter,Ureter icon,"Female, R",https://purl.humanatlas.io/ref-organ/ureter-female-right/v1.1,"Ureter, Female, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-female-right/v1.1/assets/VH_F_Ureter_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-female-right/v1.1/assets/crosswalk.csv
1.4,Ureter,organ:ureter,Ureter icon,"Male, L",https://purl.humanatlas.io/ref-organ/ureter-male-left/v1.1,"Ureter, Male, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-male-left/v1.1/assets/VH_M_Ureter_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-male-left/v1.1/assets/crosswalk.csv
1.4,Ureter,organ:ureter,Ureter icon,"Male, R",https://purl.humanatlas.io/ref-organ/ureter-male-right/v1.1,"Ureter, Male, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-male-right/v1.1/assets/VH_M_Ureter_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-male-right/v1.1/assets/crosswalk.csv
