version,nameOrgan,image,imageAlt,name,alt,url,svg,ai,png,csv
1.3,Kidney,organ:kidneys,Kidney icon,Descending Thin Limb of Loop of Henle,Image of Descending Thin Limb of Loop of Henle,https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-descending-thin-loop-of-henle/v1.0/assets/2d-ftu-kidney-descending-thin-loop-of-henle.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-descending-thin-loop-of-henle/v1.0/assets/2d-ftu-kidney-descending-thin-loop-of-henle.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-descending-thin-loop-of-henle/v1.0/assets/2d-ftu-kidney-descending-thin-loop-of-henle.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-descending-thin-loop-of-henle/v1.0/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,Inner Medullary Collecting Duct,Image of Inner Medullary Collecting Duct,https://purl.humanatlas.io/2d-ftu/kidney-inner-medullary-collecting-duct/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-inner-medullary-collecting-duct/v1.0/assets/2d-ftu-kidney-inner-medullary-collecting-duct.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-inner-medullary-collecting-duct/v1.0/assets/2d-ftu-kidney-inner-medullary-collecting-duct.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-inner-medullary-collecting-duct/v1.0/assets/2d-ftu-kidney-inner-medullary-collecting-duct.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-inner-medullary-collecting-duct/v1.0/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,Nephron,Image of Nephron,https://purl.humanatlas.io/2d-ftu/kidney-nephron/v1.1,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-nephron/v1.1/assets/2d-ftu-kidney-nephron.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-nephron/v1.1/assets/2d-ftu-kidney-nephron.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-nephron/v1.1/assets/2d-ftu-kidney-nephron.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-nephron/v1.1/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,Outer Medullary Collecting Duct,Image of Outer Medullary Collecting Duct,https://purl.humanatlas.io/2d-ftu/kidney-outer-medullary-collecting-duct/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-outer-medullary-collecting-duct/v1.0/assets/2d-ftu-kidney-outer-medullary-collecting-duct.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-outer-medullary-collecting-duct/v1.0/assets/2d-ftu-kidney-outer-medullary-collecting-duct.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-outer-medullary-collecting-duct/v1.0/assets/2d-ftu-kidney-outer-medullary-collecting-duct.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-outer-medullary-collecting-duct/v1.0/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,Renal Corpuscle,Image of Renal Corpuscle,https://purl.humanatlas.io/2d-ftu/kidney-renal-corpuscle/v1.1,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-renal-corpuscle/v1.1/assets/2d-ftu-kidney-renal-corpuscle.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-renal-corpuscle/v1.1/assets/2d-ftu-kidney-renal-corpuscle.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-renal-corpuscle/v1.1/assets/2d-ftu-kidney-renal-corpuscle.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-renal-corpuscle/v1.1/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,Thick Ascending Limb of Loop of Henle,Image of Thick Ascending Limb of Loop of Henle,https://purl.humanatlas.io/2d-ftu/kidney-thick-ascending-loop-of-henle/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-thick-ascending-loop-of-henle/v1.0/assets/2d-ftu-kidney-thick-ascending-loop-of-henle.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-thick-ascending-loop-of-henle/v1.0/assets/2d-ftu-kidney-thick-ascending-loop-of-henle.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-thick-ascending-loop-of-henle/v1.0/assets/2d-ftu-kidney-thick-ascending-loop-of-henle.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-thick-ascending-loop-of-henle/v1.0/assets/crosswalk.csv
1.3,Large Intestine,organ:large-intestine,Large Intestine icon,Crypt of Lieberkuhn,Image of Crypt of Lieberkuhn,https://purl.humanatlas.io/2d-ftu/large-intestine-crypt-lieberkuhn/v1.1,https://cdn.humanatlas.io/digital-objects/2d-ftu/large-intestine-crypt-lieberkuhn/v1.1/assets/2d-ftu-large-intestine-crypt-lieberkuhn.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/large-intestine-crypt-lieberkuhn/v1.1/assets/2d-ftu-large-intestine-crypt-lieberkuhn.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/large-intestine-crypt-lieberkuhn/v1.1/assets/2d-ftu-large-intestine-crypt-lieberkuhn.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/large-intestine-crypt-lieberkuhn/v1.1/assets/crosswalk.csv
1.3,Liver,organ:liver,Liver icon,Liver Lobule,Image of Liver Lobule,https://purl.humanatlas.io/2d-ftu/liver-liver-lobule/v1.1,https://cdn.humanatlas.io/digital-objects/2d-ftu/liver-liver-lobule/v1.1/assets/2d-ftu-liver-liver-lobule.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/liver-liver-lobule/v1.1/assets/2d-ftu-liver-liver-lobule.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/liver-liver-lobule/v1.1/assets/2d-ftu-liver-liver-lobule.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/liver-liver-lobule/v1.1/assets/crosswalk.csv
1.3,Lung,organ:lungs,Lung icon,Bronchial Submucosal Gland,Image of Bronchial Submucosal Gland,https://purl.humanatlas.io/2d-ftu/lung-bronchial-submucosal-gland/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-bronchial-submucosal-gland/v1.0/assets/2d-ftu-lung-bronchial-submucosal-gland.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-bronchial-submucosal-gland/v1.0/assets/2d-ftu-lung-bronchial-submucosal-gland.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-bronchial-submucosal-gland/v1.0/assets/2d-ftu-lung-bronchial-submucosal-gland.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-bronchial-submucosal-gland/v1.0/assets/crosswalk.csv
1.3,Lung,organ:lungs,Lung icon,Pulmonary Alveolus,Image of Pulmonary Alveolus,https://purl.humanatlas.io/2d-ftu/lung-pulmonary-alveolus/v1.1,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-pulmonary-alveolus/v1.1/assets/2d-ftu-lung-pulmonary-alveolus.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-pulmonary-alveolus/v1.1/assets/2d-ftu-lung-pulmonary-alveolus.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-pulmonary-alveolus/v1.1/assets/2d-ftu-lung-pulmonary-alveolus.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-pulmonary-alveolus/v1.1/assets/crosswalk.csv
