group,group_value,date,count,order
experts,https://orcid.org/0000-0002-8637-9044,2021-12-01,1,2
experts,https://orcid.org/0000-0003-3247-0798,2021-12-01,1,2
experts,https://orcid.org/0000-0001-5785-1939,2021-12-01,1,2
experts,https://orcid.org/0000-0002-2385-6712,2021-12-01,1,2
experts,https://orcid.org/0000-0003-1668-5174,2021-12-01,1,2
experts,https://orcid.org/0000-0003-3372-6521,2021-12-01,1,2
experts,https://orcid.org/0000-0003-4837-0337,2021-12-01,1,2
experts,https://orcid.org/0000-0002-6951-2923,2021-12-01,1,2
experts,https://orcid.org/0000-0002-8817-6355,2021-12-01,1,2
experts,https://orcid.org/0000-0003-1941-5786,2021-12-01,1,2
experts,https://orcid.org/0000-0001-9769-1538,2021-12-01,1,2
experts,https://orcid.org/0000-0002-7073-9172,2021-12-01,1,2
experts,https://orcid.org/0000-0001-9813-0433,2021-12-01,1,2
experts,https://orcid.org/0000-0002-6571-3891,2021-12-01,1,2
experts,https://orcid.org/0000-0003-0297-4370,2021-12-01,1,2
experts,https://orcid.org/0000-0002-3602-7331,2021-12-01,1,2
experts,https://orcid.org/0000-0002-1745-8996,2021-12-01,1,2
experts,https://orcid.org/0000-0001-7840-4695,2021-12-01,1,2
experts,https://orcid.org/0000-0003-4503-8494,2021-12-01,1,2
experts,https://orcid.org/0000-0001-9028-338X,2021-12-01,1,2
experts,https://orcid.org/0000-0002-3333-5646,2021-12-15,1,2
experts,https://orcid.org/0000-0003-2184-7238,2021-12-15,1,2
experts,https://orcid.org/0000-0001-8034-7685,2022-05-06,1,2
experts,https://orcid.org/0000-0002-3775-8574,2022-05-06,1,2
experts,https://orcid.org/0000-0003-3938-0330,2022-05-06,1,2
experts,https://orcid.org/0000-0001-9012-6552,2022-05-06,1,2
experts,https://orcid.org/0000-0002-4096-8601,2022-05-06,1,2
experts,https://orcid.org/0000-0002-6078-3321,2022-05-06,1,2
experts,https://orcid.org/0000-0002-0646-1815,2022-05-06,1,2
experts,https://orcid.org/0000-0002-3532-3868,2022-05-06,1,2
experts,https://orcid.org/0000-0002-3598-0219,2022-05-06,1,2
experts,https://orcid.org/0000-0003-2222-4630,2022-05-06,1,2
experts,https://orcid.org/0000-0002-0571-0285,2022-05-06,1,2
experts,https://orcid.org/0000-0002-7334-4571,2022-05-06,1,2
experts,https://orcid.org/0000-0002-9143-6509,2022-05-06,1,2
experts,https://orcid.org/0000-0001-6582-4041,2022-05-06,1,2
experts,https://orcid.org/0000-0002-2142-983X,2022-05-06,1,2
experts,https://orcid.org/0000-0001-5963-2246,2022-05-06,1,2
experts,https://orcid.org/0000-0002-2095-7534,2022-05-06,1,2
experts,https://orcid.org/0000-0002-2566-1978,2022-05-06,1,2
experts,https://orcid.org/0000-0002-9544-547X,2022-05-06,1,2
experts,https://orcid.org/0000-0001-9141-090X,2022-05-06,1,2
experts,https://orcid.org/0000-0003-1355-892X,2022-05-06,1,2
experts,https://orcid.org/0000-0002-9104-6674,2022-05-06,1,2
experts,https://orcid.org/0000-0002-0117-7444,2022-05-06,1,2
experts,https://orcid.org/0000-0001-6682-4246,2022-12-15,1,2
experts,https://orcid.org/0000-0001-7369-0602,2022-12-15,1,2
experts,https://orcid.org/0000-0003-4064-0582,2022-12-15,1,2
experts,https://orcid.org/0000-0002-5574-4272,2022-12-15,1,2
experts,https://orcid.org/0000-0002-1602-2082,2022-12-15,1,2
experts,https://orcid.org/0000-0001-6355-5677,2022-12-15,1,2
experts,https://orcid.org/0000-0001-8876-0052,2022-12-15,1,2
experts,https://orcid.org/0000-0001-5336-2943,2022-12-15,1,2
experts,https://orcid.org/0000-0001-9396-2142,2022-12-15,1,2
experts,https://orcid.org/0000-0001-9776-2535,2023-06-15,1,2
experts,https://orcid.org/0000-0002-1297-9725,2023-06-15,1,2
experts,https://orcid.org/0009-0008-1003-987X,2023-06-15,1,2
experts,https://orcid.org/0000-0002-0191-3958,2023-06-15,1,2
experts,https://orcid.org/0000-0002-8854-4517,2023-06-15,1,2
experts,https://orcid.org/0000-0003-4067-0511,2023-06-15,1,2
experts,https://orcid.org/0000-0002-0776-3030,2023-06-15,1,2
experts,https://orcid.org/0000-0002-2396-5871,2023-06-15,1,2
experts,https://orcid.org/0000-0002-7496-8570,2023-06-15,1,2
experts,https://orcid.org/0000-0002-9531-3899,2023-06-15,1,2
experts,https://orcid.org/0000-0003-4645-3614,2023-06-15,1,2
experts,https://orcid.org/0000-0002-2533-6681,2023-06-15,1,2
experts,https://orcid.org/0000-0002-1482-5359,2023-06-15,1,2
experts,https://orcid.org/0000-0002-5975-3862,2023-06-15,1,2
experts,https://orcid.org/0000-0001-6951-7225,2023-06-15,1,2
experts,https://orcid.org/0000-0003-2088-8310,2023-06-15,1,2
experts,https://orcid.org/0000-0002-5251-2281,2023-06-15,1,2
experts,https://orcid.org/0000-0001-6280-9639,2023-06-15,1,2
experts,https://orcid.org/0009-0004-1272-6762,2023-06-15,1,2
