Entry ID,Title,Image File Name,Image File Extension,Downloads
20969,"Knee, Female, Left",vh_f_knee_l_thumb_NIH3D.jpg,.jpg,0
20969,"Knee, Female, Left",vh_f_knee_l_thumb_NIH3D.png,.png,1
20970,"Knee, Female, Right",VH_F_Knee_R.glb,.glb,4
20970,"Knee, Female, Right",vh_f_knee_r_NIH3D.stl,.stl,10
20970,"Knee, Female, Right",vh_f_knee_r_NIH3D.wrl,.wrl,4
20970,"Knee, Female, Right",vh_f_knee_r_NIH3D.x3d,.x3d,4
20970,"Knee, Female, Right",vh_f_knee_r_thumb_NIH3D.jpg,.jpg,0
20970,"Knee, Female, Right",vh_f_knee_r_thumb_NIH3D.png,.png,3
20971,"Large Intestine, Female",SBU_F_Intestine_Large.glb,.glb,3
20971,"Large Intestine, Female",sbu_f_intestine_large_NIH3D.stl,.stl,10
20971,"Large Intestine, Female",sbu_f_intestine_large_NIH3D.wrl,.wrl,2
20971,"Large Intestine, Female",sbu_f_intestine_large_NIH3D.x3d,.x3d,2
20971,"Large Intestine, Female",sbu_f_intestine_large_thumb_NIH3D.jpg,.jpg,0
20971,"Large Intestine, Female",sbu_f_intestine_large_thumb_NIH3D.png,.png,1
20972,"Larynx, Female",3d-vh-f-larynx.glb,.glb,2
20972,"Larynx, Female",3d-vh-f-larynx_NIH3D.stl,.stl,21
20972,"Larynx, Female",3d-vh-f-larynx_NIH3D.wrl,.wrl,1
20972,"Larynx, Female",3d-vh-f-larynx_NIH3D.x3d,.x3d,2
20972,"Larynx, Female",3d-vh-f-larynx_thumb_NIH3D.jpg,.jpg,0
20972,"Larynx, Female",3d-vh-f-larynx_thumb_NIH3D.png,.png,4
20973,"Liver, Female",VH_F_Liver.glb,.glb,2
20973,"Liver, Female",vh_f_liver_NIH3D.stl,.stl,6
20973,"Liver, Female",vh_f_liver_NIH3D.wrl,.wrl,2
20973,"Liver, Female",vh_f_liver_NIH3D.x3d,.x3d,2
20973,"Liver, Female",vh_f_liver_thumb_NIH3D.jpg,.jpg,0
20973,"Liver, Female",vh_f_liver_thumb_NIH3D.png,.png,2
20974,"Lung, Female",3d-vh-f-lung.glb,.glb,3
20974,"Lung, Female",3d-vh-f-lung_NIH3D.stl,.stl,14
20974,"Lung, Female",3d-vh-f-lung_NIH3D.wrl,.wrl,3
20974,"Lung, Female",3d-vh-f-lung_NIH3D.x3d,.x3d,4
20974,"Lung, Female",3d-vh-f-lung_thumb_NIH3D.jpg,.jpg,0
20974,"Lung, Female",3d-vh-f-lung_thumb_NIH3D.png,.png,2
20975,"Lymph Node, Female",NIH_F_Lymph_Node.glb,.glb,1
20975,"Lymph Node, Female",nih_f_lymph_node_NIH3D.stl,.stl,2
20975,"Lymph Node, Female",nih_f_lymph_node_NIH3D.wrl,.wrl,1
20975,"Lymph Node, Female",nih_f_lymph_node_NIH3D.x3d,.x3d,1
20975,"Lymph Node, Female",nih_f_lymph_node_thumb_NIH3D.jpg,.jpg,0
20975,"Lymph Node, Female",nih_f_lymph_node_thumb_NIH3D.png,.png,1
20976,"Main Bronchus, Female",3d-vh-f-main-bronchus.glb,.glb,1
20976,"Main Bronchus, Female",3d-vh-f-main-bronchus_NIH3D.stl,.stl,3
20976,"Main Bronchus, Female",3d-vh-f-main-bronchus_NIH3D.wrl,.wrl,1
20976,"Main Bronchus, Female",3d-vh-f-main-bronchus_NIH3D.x3d,.x3d,1
20976,"Main Bronchus, Female",3d-vh-f-main-bronchus_thumb_NIH3D.jpg,.jpg,0
20976,"Main Bronchus, Female",3d-vh-f-main-bronchus_thumb_NIH3D.png,.png,1
20977,"Breast (mammary gland), Female left",3d-vh-f-mammary-gland-l.glb,.glb,5
20977,"Breast (mammary gland), Female left",3d-vh-f-mammary-gland-l_NIH3D.stl,.stl,7
20977,"Breast (mammary gland), Female left",3d-vh-f-mammary-gland-l_NIH3D.wrl,.wrl,3
20977,"Breast (mammary gland), Female left",3d-vh-f-mammary-gland-l_NIH3D.x3d,.x3d,3
20977,"Breast (mammary gland), Female left",3d-vh-f-mammary-gland-l_thumb_NIH3D.jpg,.jpg,0
20977,"Breast (mammary gland), Female left",3d-vh-f-mammary-gland-l_thumb_NIH3D.png,.png,1
20978,"Breast (mammary gland), Female right",3d-vh-f-mammary-gland-r.glb,.glb,8
20978,"Breast (mammary gland), Female right",3d-vh-f-mammary-gland-r_NIH3D.stl,.stl,13
20978,"Breast (mammary gland), Female right",3d-vh-f-mammary-gland-r_NIH3D.wrl,.wrl,2
20978,"Breast (mammary gland), Female right",3d-vh-f-mammary-gland-r_NIH3D.x3d,.x3d,5
20978,"Breast (mammary gland), Female right",3d-vh-f-mammary-gland-r_thumb_NIH3D.jpg,.jpg,0
20978,"Breast (mammary gland), Female right",3d-vh-f-mammary-gland-r_thumb_NIH3D.png,.png,5
20979,"Ovary, Female, Left",VH_F_Ovary_L.glb,.glb,2
20979,"Ovary, Female, Left",vh_f_ovary_l_NIH3D.stl,.stl,4
20979,"Ovary, Female, Left",vh_f_ovary_l_NIH3D.wrl,.wrl,2
20979,"Ovary, Female, Left",vh_f_ovary_l_NIH3D.x3d,.x3d,2
20979,"Ovary, Female, Left",vh_f_ovary_l_thumb_NIH3D.jpg,.jpg,0
20979,"Ovary, Female, Left",vh_f_ovary_l_thumb_NIH3D.png,.png,2
20980,"Ovary, Female, Right",VH_F_Ovary_R.glb,.glb,2
20980,"Ovary, Female, Right",vh_f_ovary_r_NIH3D.stl,.stl,5
20980,"Ovary, Female, Right",vh_f_ovary_r_NIH3D.wrl,.wrl,2
20980,"Ovary, Female, Right",vh_f_ovary_r_NIH3D.x3d,.x3d,2
20980,"Ovary, Female, Right",vh_f_ovary_r_thumb_NIH3D.jpg,.jpg,0
20980,"Ovary, Female, Right",vh_f_ovary_r_thumb_NIH3D.png,.png,2
20981,"Palatine Tonsil, Female, Left",3d-vh-f-palatine-tonsil-l.glb,.glb,1
20981,"Palatine Tonsil, Female, Left",3d-vh-f-palatine-tonsil-l_NIH3D.stl,.stl,6
20981,"Palatine Tonsil, Female, Left",3d-vh-f-palatine-tonsil-l_NIH3D.wrl,.wrl,2
20981,"Palatine Tonsil, Female, Left",3d-vh-f-palatine-tonsil-l_NIH3D.x3d,.x3d,2
20981,"Palatine Tonsil, Female, Left",3d-vh-f-palatine-tonsil-l_thumb_NIH3D.jpg,.jpg,0
20981,"Palatine Tonsil, Female, Left",3d-vh-f-palatine-tonsil-l_thumb_NIH3D.png,.png,1
20982,"Palatine Tonsil, Female, Right",3d-vh-f-palatine-tonsil-r.glb,.glb,1
20982,"Palatine Tonsil, Female, Right",3d-vh-f-palatine-tonsil-r_NIH3D.stl,.stl,4
20982,"Palatine Tonsil, Female, Right",3d-vh-f-palatine-tonsil-r_NIH3D.wrl,.wrl,2
