user,date,requests
HuBMAP,2024-06-12,1751
HuBMAP,2024-06-11,1083
HuBMAP,2024-06-10,1368
HuBMAP,2024-06-09,838
HuBMAP,2024-06-08,802
HuBMAP,2024-06-07,861
HuBMAP,2024-06-06,1174
HuBMAP,2024-06-05,927
HuBMAP,2024-06-04,1229
HuBMAP,2024-06-03,903
HuBMAP,2024-06-02,881
HuBMAP,2024-06-01,805
HuBMAP,2024-05-31,975
HuBMAP,2024-05-30,1766
HuBMAP,2024-05-29,1127
HuBMAP,2024-05-28,865
HuBMAP,2024-05-27,1889
HuBMAP,2024-05-26,849
HuBMAP,2024-05-25,899
HuBMAP,2024-05-24,981
HuBMAP,2024-05-23,1141
HuBMAP,2024-05-22,1768
HuBMAP,2024-05-21,1550
HuBMAP,2024-05-20,1670
HuBMAP,2024-05-19,810
HuBMAP,2024-05-18,761
HuBMAP,2024-05-17,1404
HuBMAP,2024-05-16,1184
HuBMAP,2024-05-15,1802
HuBMAP,2024-05-14,1815
HuBMAP,2024-05-13,1317
HuBMAP,2024-05-12,940
HuBMAP,2024-05-11,1106
HuBMAP,2024-05-10,1004
HuBMAP,2024-05-09,1155
HuBMAP,2024-05-08,950
HuBMAP,2024-05-07,797
HuBMAP,2024-05-06,1266
HuBMAP,2024-05-05,741
HuBMAP,2024-05-04,801
HuBMAP,2024-05-03,838
HuBMAP,2024-05-02,1227
HuBMAP,2024-05-01,992
HuBMAP,2024-04-30,1997
HuBMAP,2024-04-29,921
HuBMAP,2024-04-28,1070
HuBMAP,2024-04-27,966
HuBMAP,2024-04-26,1931
HuBMAP,2024-04-25,1199
HuBMAP,2024-04-24,985
HuBMAP,2024-04-23,1007
HuBMAP,2024-04-22,1057
HuBMAP,2024-04-21,792
HuBMAP,2024-04-20,818
HuBMAP,2024-04-19,1107
HuBMAP,2024-04-18,1142
HuBMAP,2024-04-17,1246
HuBMAP,2024-04-16,2609
HuBMAP,2024-04-15,1288
HuBMAP,2024-04-14,2529
HuBMAP,2024-04-13,777
HuBMAP,2024-04-12,1224
HuBMAP,2024-04-11,1461
HuBMAP,2024-04-10,2334
HuBMAP,2024-04-09,1433
HuBMAP,2024-04-08,1244
HuBMAP,2024-04-07,1162
HuBMAP,2024-04-06,764
HuBMAP,2024-04-05,768
HuBMAP,2024-04-04,920
HuBMAP,2024-04-03,1135
HuBMAP,2024-04-02,989
HuBMAP,2024-04-01,899
HuBMAP,2024-03-31,812
HuBMAP,2024-03-30,887
HuBMAP,2024-03-29,825
HuBMAP,2024-03-28,1813
HuBMAP,2024-03-27,1322
HuBMAP,2024-03-26,1385
HuBMAP,2024-03-25,1238
HuBMAP,2024-03-24,872
HuBMAP,2024-03-23,770
HuBMAP,2024-03-22,942
HuBMAP,2024-03-21,2317
HuBMAP,2024-03-20,2067
HuBMAP,2024-03-19,2208
HuBMAP,2024-03-18,1274
HuBMAP,2024-03-17,818
HuBMAP,2024-03-16,785
HuBMAP,2024-03-15,2480
HuBMAP,2024-03-14,1107
HuBMAP,2024-03-13,1101
HuBMAP,2024-03-12,1021
HuBMAP,2024-03-11,1450
HuBMAP,2024-03-10,839
HuBMAP,2024-03-09,874
HuBMAP,2024-03-08,1333
HuBMAP,2024-03-07,1196
HuBMAP,2024-03-06,1021
HuBMAP,2024-03-05,792
HuBMAP,2024-03-04,1282
HuBMAP,2024-03-03,744
HuBMAP,2024-03-02,969
HuBMAP,2024-03-01,1121
HuBMAP,2024-02-29,1064
HuBMAP,2024-02-28,983
HuBMAP,2024-02-27,1455
HuBMAP,2024-02-26,1406
HuBMAP,2024-02-25,905
HuBMAP,2024-02-24,806
HuBMAP,2024-02-23,815
HuBMAP,2024-02-22,1020
HuBMAP,2024-02-21,1111
HuBMAP,2024-02-20,1510
HuBMAP,2024-02-19,3107
HuBMAP,2024-02-18,821
HuBMAP,2024-02-17,778
HuBMAP,2024-02-16,1204
HuBMAP,2024-02-15,892
HuBMAP,2024-02-14,917
HuBMAP,2024-02-13,1174
HuBMAP,2024-02-12,1298
HuBMAP,2024-02-11,750
HuBMAP,2024-02-10,739
HuBMAP,2024-02-09,818
HuBMAP,2024-02-08,1233
HuBMAP,2024-02-07,1322
HuBMAP,2024-02-06,1221
HuBMAP,2024-02-05,908
HuBMAP,2024-02-04,721
HuBMAP,2024-02-03,735
HuBMAP,2024-02-02,1632
HuBMAP,2024-02-01,1036
HuBMAP,2024-01-31,338
HuBMAP,2024-01-30,1084
HuBMAP,2024-01-29,962
HuBMAP,2024-01-28,802
HuBMAP,2024-01-27,755
HuBMAP,2024-01-26,1105
HuBMAP,2024-01-25,907
HuBMAP,2024-01-24,895
HuBMAP,2024-01-23,1144
HuBMAP,2024-01-22,1325
HuBMAP,2024-01-21,838
HuBMAP,2024-01-20,933
HuBMAP,2024-01-19,1148
HuBMAP,2024-01-18,1354
HuBMAP,2024-01-17,1231
HuBMAP,2024-01-16,930
HuBMAP,2024-01-15,1165
HuBMAP,2024-01-14,820
HuBMAP,2024-01-13,744
HuBMAP,2024-01-12,1078
HuBMAP,2024-01-11,1061
HuBMAP,2024-01-10,1213
HuBMAP,2024-01-09,1576
HuBMAP,2024-01-08,1266
HuBMAP,2024-01-07,1056
HuBMAP,2024-01-06,898
HuBMAP,2024-01-05,1229
HuBMAP,2024-01-04,915
HuBMAP,2024-01-03,1295
HuBMAP,2024-01-02,975
HuBMAP,2024-01-01,890
HuBMAP,2023-12-31,771
HuBMAP,2023-12-30,756
HuBMAP,2023-12-29,1036
HuBMAP,2023-12-28,1051
HuBMAP,2023-12-27,810
HuBMAP,2023-12-26,824
HuBMAP,2023-12-25,836
HuBMAP,2023-12-24,995
HuBMAP,2023-12-23,1207
HuBMAP,2023-12-22,1011
HuBMAP,2023-12-21,812
HuBMAP,2023-12-20,715
HuBMAP,2023-12-19,1199
HuBMAP,2023-12-18,1464
HuBMAP,2023-12-17,979
HuBMAP,2023-12-16,915
HuBMAP,2023-12-15,1146
HuBMAP,2023-12-14,1195
HuBMAP,2023-12-13,2109
HuBMAP,2023-12-12,1384
HuBMAP,2023-12-11,1055
HuBMAP,2023-12-10,899
HuBMAP,2023-12-09,826
HuBMAP,2023-12-08,1959
HuBMAP,2023-12-07,1321
HuBMAP,2023-12-06,1827
HuBMAP,2023-12-05,1330
HuBMAP,2023-12-04,1619
HuBMAP,2023-12-03,959
HuBMAP,2023-12-02,1047
HuBMAP,2023-12-01,1531
HuBMAP,2023-11-30,1175
HuBMAP,2023-11-29,1753
HuBMAP,2023-11-28,1784
HuBMAP,2023-11-27,1759
HuBMAP,2023-11-26,1009
HuBMAP,2023-11-25,810
HuBMAP,2023-11-24,708
HuBMAP,2023-11-23,882
HuBMAP,2023-11-22,1143
HuBMAP,2023-11-21,1671
HuBMAP,2023-11-20,1633
HuBMAP,2023-11-19,725
HuBMAP,2023-11-18,781
HuBMAP,2023-11-17,1768
HuBMAP,2023-11-16,1268
HuBMAP,2023-11-15,893
HuBMAP,2023-11-14,744
HuBMAP,2023-11-13,1818
HuBMAP,2023-11-12,753
HuBMAP,2023-11-11,752
HuBMAP,2023-11-10,838
HuBMAP,2023-11-09,814
HuBMAP,2023-11-08,777
HuBMAP,2023-11-07,1902
HuBMAP,2023-11-06,881
HuBMAP,2023-11-05,731
HuBMAP,2023-11-04,733
HuBMAP,2023-11-03,913
HuBMAP,2023-11-02,520
HuBMAP,2023-11-01,58
HuBMAP,2023-10-31,101
HuBMAP,2023-10-30,72
HuBMAP,2023-10-29,39
HuBMAP,2023-10-28,46
HuBMAP,2023-10-27,73
HuBMAP,2023-10-26,74
HuBMAP,2023-10-25,26
HuBMAP,2023-10-24,149
HuBMAP,2023-10-23,50
HuBMAP,2023-10-22,35
HuBMAP,2023-10-21,22
HuBMAP,2023-10-20,36
HuBMAP,2023-10-19,121
HuBMAP,2023-10-18,192
HuBMAP,2023-10-17,40
HuBMAP,2023-10-16,79
HuBMAP,2023-10-15,4
HuBMAP,2023-10-14,49
HuBMAP,2023-10-13,96
HuBMAP,2023-10-12,91
HuBMAP,2023-10-11,45
HuBMAP,2023-10-10,74
HuBMAP,2023-10-09,61
HuBMAP,2023-10-08,49
HuBMAP,2023-10-07,34
HuBMAP,2023-10-06,129
HuBMAP,2023-10-05,44
HuBMAP,2023-10-04,54
HuBMAP,2023-10-03,206
HuBMAP,2023-10-02,115
HuBMAP,2023-10-01,50
HuBMAP,2023-09-30,31
HuBMAP,2023-09-29,70
HuBMAP,2023-09-28,49
HuBMAP,2023-09-27,172
HuBMAP,2023-09-26,145
HuBMAP,2023-09-25,126
HuBMAP,2023-09-24,16
HuBMAP,2023-09-23,12
HuBMAP,2023-09-22,81
HuBMAP,2023-09-21,156
HuBMAP,2023-09-20,109
HuBMAP,2023-09-19,99
HuBMAP,2023-09-18,126
HuBMAP,2023-09-17,6
HuBMAP,2023-09-16,34
HuBMAP,2023-09-15,120
HuBMAP,2023-09-14,86
HuBMAP,2023-09-13,126
HuBMAP,2023-09-12,82
HuBMAP,2023-09-11,149
HuBMAP,2023-09-10,14
HuBMAP,2023-09-09,15
HuBMAP,2023-09-08,91
HuBMAP,2023-09-07,102
HuBMAP,2023-09-06,159
HuBMAP,2023-09-05,73
HuBMAP,2023-09-04,36
HuBMAP,2023-09-03,16
HuBMAP,2023-09-02,71
HuBMAP,2023-09-01,83
HuBMAP,2023-08-31,131
HuBMAP,2023-08-30,186
HuBMAP,2023-08-29,151
HuBMAP,2023-08-28,96
HuBMAP,2023-08-27,1130
HuBMAP,2023-08-26,20
HuBMAP,2023-08-25,130
HuBMAP,2023-08-24,143
HuBMAP,2023-08-23,91
HuBMAP,2023-08-22,154
HuBMAP,2023-08-21,171
HuBMAP,2023-08-20,46
HuBMAP,2023-08-19,37
HuBMAP,2023-08-18,102
HuBMAP,2023-08-17,194
HuBMAP,2023-08-16,127
HuBMAP,2023-08-15,223
HuBMAP,2023-08-14,90
HuBMAP,2023-08-13,52
HuBMAP,2023-08-12,63
HuBMAP,2023-08-11,124
HuBMAP,2023-08-10,189
HuBMAP,2023-08-09,165
HuBMAP,2023-08-08,147
HuBMAP,2023-08-07,186
