year,year_order,series,publications
2001,2001,Only in HRA v0.7.1,73357
2001,2001,Only in HRAlit v0.5.0,45334
2001,2001,In both datasets,59689
2002,2002,Only in HRA v0.7.1,76965
2002,2002,Only in HRAlit v0.5.0,48108
2002,2002,In both datasets,59562
2003,2003,Only in HRA v0.7.1,79699
2003,2003,Only in HRAlit v0.5.0,52904
2003,2003,In both datasets,61483
2004,2004,Only in HRA v0.7.1,84291
2004,2004,Only in HRAlit v0.5.0,56543
2004,2004,In both datasets,62780
2005,2005,Only in HRA v0.7.1,93239
2005,2005,Only in HRAlit v0.5.0,61255
2005,2005,In both datasets,63175
2006,2006,Only in HRA v0.7.1,97557
2006,2006,Only in HRAlit v0.5.0,67030
2006,2006,In both datasets,62505
2007,2007,Only in HRA v0.7.1,101031
2007,2007,Only in HRAlit v0.5.0,71983
2007,2007,In both datasets,61755
2008,2008,Only in HRA v0.7.1,105765
2008,2008,Only in HRAlit v0.5.0,77287
2008,2008,In both datasets,62389
2009,2009,Only in HRA v0.7.1,107826
2009,2009,Only in HRAlit v0.5.0,81586
2009,2009,In both datasets,63221
2010,2010,Only in HRA v0.7.1,115515
2010,2010,Only in HRAlit v0.5.0,87429
2010,2010,In both datasets,64446
2011,2011,Only in HRA v0.7.1,123887
2011,2011,Only in HRAlit v0.5.0,94451
2011,2011,In both datasets,64353
2012,2012,Only in HRA v0.7.1,124742
2012,2012,Only in HRAlit v0.5.0,104874
2012,2012,In both datasets,67280
2013,2013,Only in HRA v0.7.1,129974
2013,2013,Only in HRAlit v0.5.0,110974
2013,2013,In both datasets,70732
2014,2014,Only in HRA v0.7.1,130279
2014,2014,Only in HRAlit v0.5.0,116838
2014,2014,In both datasets,71657
2015,2015,Only in HRA v0.7.1,131410
2015,2015,Only in HRAlit v0.5.0,121728
2015,2015,In both datasets,72243
2016,2016,Only in HRA v0.7.1,128039
2016,2016,Only in HRAlit v0.5.0,122041
2016,2016,In both datasets,70972
2017,2017,Only in HRA v0.7.1,129519
2017,2017,Only in HRAlit v0.5.0,123675
2017,2017,In both datasets,71746
2018,2018,Only in HRA v0.7.1,130674
2018,2018,Only in HRAlit v0.5.0,128246
2018,2018,In both datasets,74201
2019,2019,Only in HRA v0.7.1,133745
2019,2019,Only in HRAlit v0.5.0,135255
2019,2019,In both datasets,76225
2020,2020,Only in HRA v0.7.1,144958
2020,2020,Only in HRAlit v0.5.0,149524
2020,2020,In both datasets,79411
